5,7,35,1.400,.400,.657,2.33,14,23,6,1
5,7,35,1.400,.371,.743,4.33,13,26,3,1
6,4,24,.667,.417,.708,2.50,10,17,4,1
5,6,30,1.200,.333,.333,10.00,10,10,1,1
5,5,25,1.000,.400,.520,10.00,10,13,1,1
5,7,35,1.400,.486,.914,8.50,17,32,2,1
5,3,15,.600,.533,.733,8.00,8,11,1,1
5,6,30,1.200,.433,.733,13.00,13,22,1,1
5,7,35,1.400,.429,.857,5.00,15,30,3,1
6,7,42,1.167,.405,.881,4.25,17,37,4,1
6,7,42,1.167,.405,.952,4.25,17,40,4,1
5,19,95,3.800,.232,.400,5.50,22,38,4,1
4,6,24,1.500,.417,.500,10.00,10,12,1,1
4,18,72,4.500,.250,.528,2.57,18,38,7,1
6,7,42,1.167,.357,.548,7.50,15,23,2,1
5,7,35,1.400,.429,.886,2.50,15,31,6,1
7,16,112,2.286,.321,.643,2.57,36,72,14,1
7,103,721,14.714,.295,.691,1.76,213,498,121,1
11,8,88,.727,.580,1.00,5.10,51,88,10,1
3,113,339,37.667,.410,.472,13.90,139,160,10,2
10,38,380,3.800,.426,.947,3.12,162,360,52,1
9,21,189,2.333,.429,.772,3.00,81,146,27,1
4,194,776,48.500,.263,.273,34.00,204,212,6,2
2,18,36,9.000,.667,.694,24.00,24,25,1,2
2,22,44,11.000,.705,.864,15.50,31,38,2,2
9,90,810,10.000,.260,.786,2.18,211,637,97,1
9,92,828,10.222,.286,.885,1.93,237,733,123,1
8,95,760,11.875,.303,.937,1.77,230,712,130,1
10,53,530,5.300,.294,.819,1.79,156,434,87,1
9,92,828,10.222,.292,.843,2.05,242,698,118,1
11,85,935,7.727,.257,.894,1.67,240,836,144,1
9,12,108,1.333,.454,1.00,1.69,49,108,29,1
11,102,1122,9.273,.223,.768,1.53,250,862,163,1
12,12,144,1.000,.306,.979,1.69,44,141,26,1
9,84,756,9.333,.222,.937,1.81,168,708,93,1
10,83,830,8.300,.266,.827,2.10,221,686,105,1
10,4,40,.400,.375,.400,15.00,15,16,1,1
12,11,132,.917,.371,1.00,1.63,49,132,30,1
12,44,528,3.667,.261,.767,2.38,138,405,58,1
12,7,84,.583,.214,.583,3.60,18,49,5,1
10,63,630,6.300,.233,.705,1.69,147,444,87,1
9,32,288,3.556,.271,.594,2.23,78,171,35,1
1,13,13,13.000,1.00,1.00,13.00,13,13,1,2
1,8,8,8.000,1.00,1.00,8.00,8,8,1,2
2,20,40,10.000,.725,.875,29.00,29,35,1,2
2,20,40,10.000,.775,.850,31.00,31,34,1,2
11,86,946,7.818,.413,.853,3.10,391,807,126,1
8,3,24,.375,.417,.417,10.00,10,10,1,1
3,113,339,37.667,.357,.378,30.25,121,128,4,2
2,48,96,24.000,.625,.677,30.00,60,65,2,2
8,8,64,1.000,.234,.328,5.00,15,21,3,1
10,100,1000,10.000,.436,.910,2.53,436,910,172,1
9,85,765,9.444,.302,.812,1.82,231,621,127,1
11,101,1111,9.182,.398,.888,2.76,442,987,160,1
11,119,1309,10.818,.236,.747,1.75,309,978,177,1
8,48,384,6.000,.302,.914,1.76,116,351,66,1
9,44,396,4.889,.460,.937,2.84,182,371,64,1
3,116,348,38.667,.356,.371,62.00,124,129,2,2
3,132,396,44.000,.505,.558,20.00,200,221,10,2
1,8,8,8.000,1.00,1.00,8.00,8,8,1,2
2,46,92,23.000,.587,.761,18.00,54,70,3,2
11,77,847,7.000,.345,.874,2.43,292,740,120,1
9,41,369,4.556,.301,.886,1.91,111,327,58,1
1,10,10,10.000,.900,1.00,9.00,9,10,1,2
9,123,1107,13.667,.362,.986,2.62,401,1091,153,1
