5,7,35,1.400,.400,.657,2.33,14,23,6,1
6,7,42,1.167,.429,.881,3.60,18,37,5,1
6,18,108,3.000,.287,.741,4.43,31,80,7,1
5,7,35,1.400,.371,.743,4.33,13,26,3,1
6,3,18,.500,.500,.944,2.25,9,17,4,1
5,8,40,1.600,.550,1.00,2.44,22,40,9,1
5,6,30,1.200,.333,.333,10.00,10,10,1,1
5,7,35,1.400,.486,.914,8.50,17,32,2,1
5,6,30,1.200,.433,.733,13.00,13,22,1,1
6,7,42,1.167,.405,.881,4.25,17,37,4,1
6,7,42,1.167,.405,.952,4.25,17,40,4,1
5,4,20,.800,.500,.800,10.00,10,16,1,1
11,9,99,.818,.343,.626,3.40,34,62,10,1
11,8,88,.727,.409,.477,36.00,36,42,1,1
11,35,385,3.182,.382,.657,6.13,147,253,24,1
3,113,339,37.667,.410,.472,13.90,139,160,10,2
3,59,177,19.667,.475,.475,84.00,84,84,1,2
2,20,40,10.000,.675,.675,27.00,27,27,1,2
9,21,189,2.333,.429,.772,3.00,81,146,27,1
9,37,333,4.111,.532,.913,3.22,177,304,55,1
10,98,980,9.800,.379,.835,2.22,371,818,167,1
9,50,450,5.556,.496,.958,2.69,223,431,83,1
4,194,776,48.500,.263,.273,34.00,204,212,6,2
2,18,36,9.000,.806,.833,29.00,29,30,1,2
10,66,660,6.600,.273,.661,1.94,180,436,93,1
9,90,810,10.000,.260,.786,2.18,211,637,97,1
9,92,828,10.222,.286,.885,1.93,237,733,123,1
9,51,459,5.667,.296,.786,2.34,136,361,58,1
11,99,1089,9.000,.230,.601,2.14,250,654,117,1
10,53,530,5.300,.294,.819,1.79,156,434,87,1
9,92,828,10.222,.292,.843,2.05,242,698,118,1
9,83,747,9.222,.284,.849,1.91,212,634,111,1
9,12,108,1.333,.454,1.00,1.69,49,108,29,1
12,12,144,1.000,.306,.979,1.69,44,141,26,1
12,56,672,4.667,.256,.827,2.02,172,556,85,1
9,84,756,9.333,.222,.937,1.81,168,708,93,1
9,54,486,6.000,.292,.957,1.48,142,465,96,1
9,41,369,4.556,.298,.775,1.90,110,286,58,1
10,4,40,.400,.375,.400,15.00,15,16,1,1
12,11,132,.917,.371,1.00,1.63,49,132,30,1
10,34,340,3.400,.297,.885,1.71,101,301,59,1
9,76,684,8.444,.307,.882,1.84,210,603,114,1
12,14,168,1.167,.357,.958,2.31,60,161,26,1
12,7,84,.583,.214,.583,3.60,18,49,5,1
12,44,528,3.667,.294,.742,2.31,155,392,67,1
10,63,630,6.300,.233,.705,1.69,147,444,87,1
3,116,348,38.667,.385,.494,33.50,134,172,4,2
1,10,10,10.000,1.00,1.00,10.00,10,10,1,2
1,13,13,13.000,1.00,1.00,13.00,13,13,1,2
1,8,8,8.000,1.00,1.00,8.00,8,8,1,2
2,20,40,10.000,.725,.875,29.00,29,35,1,2
