HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-setosa  expected - Iris-setosa
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
MISS -->  calculated - Iris-virginica  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-versicolor  expected - Iris-versicolor
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
MISS -->  calculated - Iris-versicolor  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
HIT -->  calculated - Iris-virginica  expected - Iris-virginica
